g    PRA 96,043614     arxiv 2006.09044  | eta_only 200      eta_only 1000     eta_mu_random     init_zeros
1.0  4.717856912384774 4.763919561876087 | 4.729828320371413 4.733544835155297
2.0  5.265078958917994 5.299500081308915 | 5.293803855880902 5.278336318360208
3.0  5.677380413847666 5.723047405720999 | 5.737814768765795 5.720106173673848
4.0  6.026189825669782 6.062569833867524 | 6.112624147679919 6.084412156363782
5.0  6.287697678219014 6.324292743572661 | 6.383555652219175 6.350076602684787                   6.3592100326942145 
6.0  6.501586498437584 6.570454175868561 | 6.688907579201447 6.609169583697430 6.545208260527801 6.587444408606294
7.0  6.727380076738815 6.757486977459067 | 6.891696099506753 6.805504570771929 6.764878471389385 6.8096650318748555
8.0  6.885713359238275 6.941407745854554 | 7.123471667626913 6.994923941991505 6.937166516950146 7.001628045638052
9.0  7.004364114795514 7.072425261368819 | 7.237179373585067 7.194031757459016 7.0866583749866   7.202064613052034
10.0 7.107141859575866 7.219001631424057 | 7.44654709143297  7.309968812284688 7.231238883030126 7.3436488104539945
